go_id	ontology	term_name	selection_role	matched_query_ids	matched_query_strings	source_seed_ids	source_seed_names	in_core_branch	in_downstream_branch	is_anchor	n_human_annotated	n_in_deposited_matrix	n_in_filtered_matrix
GO:0140970	BP	AIM2 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0140970	AIM2 inflammasome complex assembly	TRUE	FALSE	FALSE	2	2	2
GO:0140632	BP	canonical inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0140632; GO:0141084	canonical inflammasome complex assembly; inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	2	2	2
GO:0140633	BP	CARD8 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0140632; GO:0140633; GO:0141084	canonical inflammasome complex assembly; CARD8 inflammasome complex assembly; inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	1	1	1
GO:1902483	BP	cytotoxic T cell pyroptotic cell death	seed	pyroptotic	pyroptotic	GO:0070269; GO:0141201; GO:1902483	cytotoxic T cell pyroptotic cell death; pyroptotic cell death; pyroptotic inflammatory response	TRUE	FALSE	FALSE	2	1	1
GO:0141084	BP	inflammasome-mediated signaling pathway	seed	inflammasome	inflammasome	GO:0141084	inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	0	0	0
GO:0032611	BP	interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611	interleukin-1 beta production	FALSE	TRUE	FALSE	0	0	0
GO:0032621	BP	interleukin-18 production	seed	interleukin_18_production	interleukin-18 production	GO:0032621	interleukin-18 production	FALSE	TRUE	FALSE	0	0	0
GO:0140972	BP	negative regulation of AIM2 inflammasome complex assembly	seed	inflammasome	inflammasome	GO:0140970; GO:0140971; GO:0140972; GO:0141084; GO:0141085; GO:0141086	AIM2 inflammasome complex assembly; inflammasome-mediated signaling pathway; negative regulation of AIM2 inflammasome complex assembly; negative regulation of inflammasome-mediated signaling pathway; regulation of AIM2 inflammasome complex assembly; regulation of inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	3	2	2
GO:0141086	BP	negative regulation of inflammasome-mediated signaling pathway	seed	inflammasome	inflammasome	GO:0141084; GO:0141085; GO:0141086	inflammasome-mediated signaling pathway; negative regulation of inflammasome-mediated signaling pathway; regulation of inflammasome-mediated signaling pathway	TRUE	FALSE	FALSE	0	0	0
GO:0032691	BP	negative regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651; GO:0032691	interleukin-1 beta production; negative regulation of interleukin-1 beta production; regulation of interleukin-1 beta production	FALSE	TRUE	FALSE	47	27	27
